"filename", "language", "C#", "comment", "blank", "total"
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/CollisionHandling/Collisions.cs", "C#", 4, 0, 2, 6
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/ObjectCollection.cs", "C#", 9, 0, 2, 11
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/SimulationBox.cs", "C#", -8, 0, -1, -9
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/Particles/Particle.cs", "C#", -7, 0, 0, -7
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/Particles/Polygon.cs", "C#", -7, 0, -1, -8
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/Handler.cs", "C#", 1, 0, 0, 1
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/SimulationHandler.cs", "C#", 4, 0, 0, 4
"Total", "-", -4, 0, 2, -2
